english,french,ipa
I,je,/ʒə/
you,tu (informal),/ty/
you,vous (formal),/vu/
we,nous,/nu/
you,vous,/vu/
this,ceci,/sə.si/
that,cela,/sə.la/
here,ici,/i.si/
there,là,/la/
who,qui,/ki/
what,quoi,/kwa/
where,où,/u/
when,quand,/kã/
how,comment,/kɔ.mã/
not,ne pas,/nə ... pɑ/
all,tout,/tu/
many,beaucoup,/bo.ku/
some,quelques,/kelk/
few,peu,/pø/
other,autre,/otʁ/
one,un,/œ̃/
two,deux,/dø/
three,trois,/tʁwɑ/
four,quatre,/katʁ/
five,cinq,/sɛ̃k/
big,grand,/ɡʁã/
long,long,/lõ/
wide,large,/laʁʒ/
thick,épais,/epɛ/
heavy,lourd,/luʁ/
small,petit,/pəti/
short,court,/kuʁ/
narrow,étroit,/etʁwa/
thin,mince,/mɛ̃s/
woman,femme,/fam/
man (adult male),homme,/ɔm/
man (human being),homme,/ɔm/
child,enfant,/ɑ̃fɑ̃/
wife,femme, épouse,/fam/, /epuz/
husband,mari, époux,/maʁi/, /epu/
mother,mère,/mɛʁ/
father,père,/pɛʁ/
animal,animal,/animal/
fish,poisson,/pwasõ/
bird,oiseau,/wazo/
dog,chien,/ʃjɛ̃/
louse,pou,/pu/
snake,serpent,/sɛʁpɑ̃/
worm,ver,/vɛʁ/
tree,arbre,/aʁbʁ/
forest,forêt,/fɔʁɛ/
stick,bâton,/bɑtɔ̃/
fruit,fruit,/fʁɥi/
seed,graine,/ɡʁɛn/
leaf,feuille,/fœj/
root,racine,/ʁasin/
bark (of a tree),écorce,/ekɔʁs/
flower,fleur,/flœʁ/
grass,herbe,/ɛʁb/
rope,corde,/kɔʁd/
skin,peau,/po/
meat,viande,/vjɑ̃d/
blood,sang,/sɑ̃/
bone,os,/ɔs/
fat (noun),graisse,/ɡʁɛs/
egg,œuf,/œf/
horn,corne,/kɔʁn/
tail,queue,/kø/
feather,plume,/plym/
hair,cheveux,/ʃəvø/
head,tête,/tɛt/
ear,oreille,/ɔʁɛj/
eye,œil,/œj/
nose,nez,/ne/
mouth,bouche,/buʃ/
tooth,dent,/dɑ̃/
tongue (organ),langue,/lɑ̃ɡ/
fingernail,ongle,/ɔ̃ɡl/
foot,pied,/pje/
leg,jambe,/ʒɑ̃b/
knee,genou,/ʒənu/
hand,main,/mɛ̃/
wing,aile,/ɛl/
belly,ventre,/vɑ̃tʁ/
guts,entrailles, intestins,/ɑ̃tʁɑj/, /ɛ̃tɛstɛ̃/
neck,cou,/ku/
back,dos,/do/
breast,sein, poitrine,/sɛ̃/, /pwatʁin/
heart,cœur,/kœʁ/
liver,foie,/fwɑ/
to drink,boire,/bwɑʁ/
to eat,manger,/mɑ̃ʒe/
to bite,mordre,/mɔʁdʁ/
to suck,sucer,/syse/
to spit,cracher,/kʁaʃe/
to vomit,vomir,/vɔmiʁ/
to blow,souffler,/sufle/
to breathe,respirer,/ʁɛspiʁe/
to laugh,rire,/ʁiʁ/
to see,voir,/vwaʁ/
to hear,entendre,/ɑ̃tɑ̃dʁ/
to know,savoir,/savwaʁ/
to think,penser,/pɑ̃se/
to smell,sentir,/sɑ̃tiʁ/
to fear,craindre,/kʁɛ̃dʁ/
to sleep,dormir,/dɔʁmiʁ/
to live,vivre,/vivʁ/
to die,mourir,/muʁiʁ/
to kill,tuer,/tɥe/
to fight,se battre,/səbatʁ/
to hunt,chasser,/ʃase/
to hit,frapper,/fʁape/
to cut,couper,/kupe/
to split,fendre,/fɑ̃dʁ/
to stab,poignarder,/pwaɲaʁde/
to scratch,gratter,/ɡʁate/
to dig,creuser,/kʁøze/
to swim,nager,/naʒe/
to fly,voler,/vɔle/
to walk,marcher,/maʁʃe/
to come,venir,/vəniʁ/
to lie (as in a bed),s'étendre (action), être étendu (state),/setɑ̃dʁ/, /ɛtʁetɑ̃dy/
to sit,s'asseoir (action), être assis (state),/saswaʁ/, /ɛtʁasi/
to stand,se lever (action), se tenir debout (state),/sələve/, /sətəniʁdəbu/
to turn (intransitive),tourner,/tuʁne/
to fall,tomber,/tɔ̃be/
to give,donner,/dɔne/
to hold,tenir,/təniʁ/
to squeeze,serrer,/seʁe/
to rub,frotter,/fʁɔte/
to wash,laver,/lave/
to wipe,essuyer,/esɥije/
to pull,tirer,/tiʁe/
to push,pousser,/puse/
to throw,jeter, lancer,/ʒəte/, /lɑ̃se/
to tie,lier,/lje/
to sew,coudre,/kudʁ/
to count,compter,/kɔ̃te/
to say,dire,/diʁ/
to sing,chanter,/ʃɑ̃te/
to play,jouer,/ʒwe/
to float,flotter,/flɔte/
to flow,couler,/kule/
to freeze,geler,/ʒəle/
to swell,gonfler,/ɡɔ̃fle/
sun,soleil,/sɔlɛj/
moon,lune,/lyn/
star,étoile,/etwal/
water,eau,/o/
rain,pluie,/plɥi/
river,rivière,/ʁivjɛʁ/
lake,lac,/lak/
sea,mer,/mɛʁ/
salt,sel,/sɛl/
stone,pierre,/pjɛʁ/
sand,sable,/sabl/
dust,poussière,/pusjɛʁ/
earth,terre,/tɛʁ/
cloud,nuage,/nɥaʒ/
fog,brouillard,/bʁujaʁ/
sky,ciel,/sjɛl/
wind,vent,/vɑ̃/
snow,neige,/nɛʒ/
ice,glace,/ɡlas/
smoke,fumée,/fyme/
fire,feu,/fø/
ash,cendre,/sɑ̃dʁ/
to burn,brûler,/bʁyle/
road,route,/ʁut/
mountain,montagne,/mɔ̃taɲ/
red,rouge,/ʁuʒ/
green,vert,/vɛʁ/
yellow,jaune,/ʒon/
white,blanc,/blɑ̃/
black,noir,/nwaʁ/
night,nuit,/nɥi/
day,jour,/ʒuʁ/
year,année,/ɑ̃/
warm,chaud,/ʃo/
cold,froid,/fʁwa/
full,plein,/plɛ̃/
new,nouveau, /nuvo/
old,vieux,/vjø/
good,bon,/bɔ̃/
bad,mauvais,/movɛ/
rotten,pourri,/puri/
dirty,sale,/sal/
straight,droit,/dʁwa/
round,rond,/ʁɔ̃/
sharp,tranchant,/tʁɑ̃ʃɑ̃/
dull,émoussé,/emuse/
smooth,lisse,/lis/
wet,mouillé,/muje/
dry,sec,/sɛk/
correct,juste,/ʒyst/
near,près,/pʁɛ/
far,loin,/lwɛ̃/
right,droite,/dʁwat/
left,gauche,/ɡoʃ/
at,à,/a/
in,dans,/dɑ̃/
with,avec,/avɛk/
and,et,/e/
if,si,/si/
because,parce que,/paʁsəkə/
name,nom,/nɔ̃/
